event_name,event_id,fight_id,r_name,r_id,b_name,b_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,r_kd,r_sig_str_landed,r_sig_str_atmpted,r_sig_str_acc,r_total_str_landed,r_total_str_atmpted,r_total_str_acc,r_td_landed,r_td_atmpted,r_td_acc,r_sub_att,r_ctrl,r_head_landed,r_head_atmpted,r_head_acc,r_body_landed,r_body_atmpted,r_body_acc,r_leg_landed,r_leg_atmpted,r_leg_acc,r_dist_landed,r_dist_atmpted,r_dist_acc,r_clinch_landed,r_clinch_atmpted,r_clinch_acc,r_ground_landed,r_ground_atmpted,r_ground_acc,r_landed_head_per,r_landed_body_per,r_landed_leg_per,r_landed_dist_per,r_landed_clinch_per,r_landed_ground_per,b_kd,b_sig_str_landed,b_sig_str_atmpted,b_sig_str_acc,b_total_str_landed,b_total_str_atmpted,b_total_str_acc,b_td_landed,b_td_atmpted,b_td_acc,b_sub_att,b_ctrl,b_head_landed,b_head_atmpted,b_head_acc,b_body_landed,b_body_atmpted,b_body_acc,b_leg_landed,b_leg_atmpted,b_leg_acc,b_dist_landed,b_dist_atmpted,b_dist_acc,b_clinch_landed,b_clinch_atmpted,b_clinch_acc,b_ground_landed,b_ground_atmpted,b_ground_acc,b_landed_head_per,b_landed_body_per,b_landed_leg_per,b_landed_dist_per,b_landed_clinch_per,b_landed_ground_per
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,82338ba457fbe87f,Tim Elliott,c96d9178c9ed9e62,Kai Asakura,d33da8a3d82bdb62,flyweight,0,Submission,2,279,3.0,Robert Madrigal,0.0,27.0,71.0,38.0,42.0,88.0,48.0,2.0,3.0,66.0,2.0,114.0,18.0,43.0,42.0,2.0,18.0,11.0,7.0,10.0,70.0,26.0,69.0,38.0,0.0,0.0,,1.0,2.0,50.0,66.0,7.0,25.0,96.0,0.0,3.0,0.0,21.0,87.0,24.0,38.0,104.0,37.0,0.0,0.0,,0.0,1.0,17.0,79.0,22.0,3.0,7.0,43.0,1.0,1.0,100.0,21.0,87.0,24.0,0.0,0.0,,0.0,0.0,,80.0,14.0,4.0,100.0,0.0,0.0
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,1d8dc0fb5d47357f,Chase Hooper,971246648e162f0d,Alexander Hernandez,262a7d06203657e6,lightweight,0,KO/TKO,1,298,3.0,Jason Herzog,0.0,20.0,82.0,24.0,20.0,82.0,24.0,0.0,2.0,0.0,0.0,5.0,7.0,62.0,11.0,7.0,12.0,57.0,6.0,8.0,75.0,20.0,81.0,25.0,0.0,1.0,0.0,0.0,0.0,,35.0,35.0,30.0,100.0,0.0,0.0,1.0,17.0,38.0,44.0,18.0,39.0,46.0,0.0,0.0,,0.0,2.0,14.0,35.0,40.0,3.0,3.0,100.0,0.0,0.0,,13.0,33.0,39.0,0.0,0.0,,4.0,5.0,80.0,82.0,17.0,0.0,76.0,0.0,23.0
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,5b880d10b0ed7acc,Gerald Meerschaert,6ac9bc2953c47345,Michal Oleksiejczuk,0d65c432720accb9,middleweight,0,KO/TKO,1,183,3.0,Herb Dean,0.0,3.0,16.0,18.0,3.0,16.0,19.0,0.0,3.0,0.0,0.0,0.0,2.0,14.0,14.0,0.0,0.0,,1.0,2.0,50.0,3.0,16.0,19.0,0.0,0.0,,0.0,0.0,,66.0,0.0,33.0,100.0,0.0,0.0,1.0,23.0,51.0,45.0,23.0,51.0,45.0,0.0,0.0,,0.0,22.0,18.0,46.0,39.0,5.0,5.0,100.0,0.0,0.0,,11.0,31.0,35.0,0.0,0.0,,12.0,20.0,60.0,78.0,21.0,0.0,47.0,0.0,52.0
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,42585ce706c086de,Geoff Neal,b997be68943010fc,Carlos Prates,7ee0fd831c0fe7c3,welterweight,0,KO/TKO,1,299,3.0,Jason Herzog,0.0,25.0,49.0,51.0,26.0,50.0,52.0,0.0,1.0,0.0,0.0,15.0,16.0,38.0,42.0,4.0,6.0,67.0,5.0,5.0,100.0,23.0,45.0,51.0,2.0,4.0,50.0,0.0,0.0,,64.0,16.0,20.0,92.0,8.0,0.0,1.0,32.0,60.0,53.0,32.0,60.0,53.0,0.0,0.0,,0.0,0.0,17.0,45.0,38.0,8.0,8.0,100.0,7.0,7.0,100.0,32.0,58.0,55.0,0.0,2.0,0.0,0.0,0.0,,53.0,25.0,21.0,100.0,0.0,0.0
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,12cedec11b37ddc0,Dricus Du Plessis,0d7b51c9d2649a6e,Khamzat Chimaev,767755fd74662dbf,middleweight,1,Decision - Unanimous,5,300,5.0,Marc Goddard,0.0,13.0,29.0,44.0,45.0,68.0,66.0,1.0,1.0,100.0,1.0,53.0,10.0,24.0,42.0,2.0,4.0,50.0,1.0,1.0,100.0,10.0,25.0,40.0,0.0,0.0,,3.0,4.0,75.0,76.0,15.0,7.0,76.0,0.0,23.0,0.0,37.0,47.0,78.0,529.0,567.0,93.0,12.0,17.0,70.0,0.0,1300.0,28.0,36.0,78.0,3.0,5.0,60.0,6.0,6.0,100.0,12.0,19.0,63.0,0.0,0.0,,25.0,28.0,89.0,75.0,8.0,16.0,32.0,0.0,67.0
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,bc63f1b2e52f603e,Edson Barboza,64a50dad704d1d49,Drakkar Klose,7cbf7c78d3b34218,lightweight,0,Decision - Unanimous,3,300,3.0,Marc Goddard,0.0,71.0,120.0,59.0,73.0,122.0,60.0,0.0,0.0,,0.0,230.0,26.0,64.0,41.0,32.0,38.0,84.0,13.0,18.0,72.0,57.0,105.0,54.0,14.0,15.0,93.0,0.0,0.0,,36.0,45.0,18.0,80.0,19.0,0.0,0.0,53.0,102.0,51.0,147.0,209.0,70.0,0.0,2.0,0.0,0.0,153.0,35.0,78.0,45.0,6.0,9.0,67.0,12.0,15.0,80.0,43.0,89.0,48.0,10.0,13.0,77.0,0.0,0.0,,66.0,11.0,22.0,81.0,18.0,0.0
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,a2eafd9e1d5031b1,Jessica Andrade,6a1901c62ab3870f,Loopy Godinez,8e5d953bdb9ae5e7,women's strawweight,0,Decision - Unanimous,3,300,3.0,Nick Cimmarusti,0.0,90.0,287.0,31.0,97.0,297.0,33.0,0.0,1.0,0.0,0.0,17.0,58.0,242.0,24.0,21.0,31.0,68.0,11.0,14.0,79.0,87.0,279.0,31.0,3.0,8.0,38.0,0.0,0.0,,64.0,23.0,12.0,96.0,3.0,0.0,0.0,107.0,213.0,50.0,119.0,226.0,53.0,1.0,14.0,7.0,0.0,93.0,91.0,195.0,47.0,12.0,14.0,86.0,4.0,4.0,100.0,94.0,195.0,48.0,11.0,16.0,69.0,2.0,2.0,100.0,85.0,11.0,3.0,87.0,10.0,1.0
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,9939d7073462e07e,Jared Cannonier,13a0275fa13c4d26,Michael Page,a67d071163962af8,middleweight,0,Decision - Unanimous,3,300,3.0,Marc Goddard,0.0,20.0,57.0,35.0,46.0,88.0,52.0,2.0,7.0,28.0,0.0,494.0,10.0,45.0,22.0,4.0,6.0,67.0,6.0,6.0,100.0,11.0,45.0,24.0,3.0,4.0,75.0,6.0,8.0,75.0,50.0,20.0,30.0,55.0,15.0,30.0,0.0,29.0,55.0,52.0,36.0,64.0,56.0,0.0,1.0,0.0,0.0,1.0,19.0,45.0,42.0,8.0,8.0,100.0,2.0,2.0,100.0,27.0,53.0,51.0,2.0,2.0,100.0,0.0,0.0,,65.0,27.0,6.0,93.0,6.0,0.0
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,9fa6a029f7f8241c,Lerone Murphy,396fe87b84ac2e1c,Aaron Pico,5537efc6e496dd84,featherweight,0,KO/TKO,1,201,3.0,Herb Dean,1.0,8.0,16.0,50.0,8.0,16.0,50.0,0.0,0.0,,1.0,0.0,4.0,9.0,44.0,4.0,6.0,67.0,0.0,1.0,0.0,6.0,14.0,43.0,1.0,1.0,100.0,1.0,1.0,100.0,50.0,50.0,0.0,75.0,12.0,12.0,0.0,13.0,29.0,44.0,13.0,30.0,43.0,2.0,3.0,66.0,0.0,121.0,7.0,23.0,30.0,5.0,5.0,100.0,1.0,1.0,100.0,7.0,21.0,33.0,3.0,5.0,60.0,3.0,3.0,100.0,53.0,38.0,7.0,53.0,23.0,23.0
UFC 319: Du Plessis vs. Chimaev,421ccfc6ddb17958,5efd13a12be06706,Baisangur Susurkaev,d1feea7a4bdcd503,Eric Nolan,64b12fe31be7560c,middleweight,0,Submission,2,121,3.0,Jason Herzog,0.0,36.0,62.0,58.0,59.0,89.0,66.0,2.0,7.0,28.0,1.0,199.0,23.0,46.0,50.0,7.0,10.0,70.0,6.0,6.0,100.0,22.0,42.0,52.0,2.0,3.0,67.0,12.0,17.0,71.0,63.0,19.0,16.0,61.0,5.0,33.0,0.0,22.0,56.0,39.0,24.0,58.0,41.0,0.0,1.0,0.0,0.0,17.0,17.0,51.0,33.0,5.0,5.0,100.0,0.0,0.0,,18.0,47.0,38.0,4.0,9.0,44.0,0.0,0.0,,77.0,22.0,0.0,81.0,18.0,0.0
