id,wins,losses,draws,height,weight,reach,stance,splm,str_acc,sapm,str_def,td_avg,td_avg_acc,td_def,sub_avg,age,title_fights_won,avg_fight_time,avg_finish_round,avg_kd,avg_sig_str_landed,avg_sig_str_atmpted,avg_sig_str_acc,avg_total_str_landed,avg_total_str_atmpted,avg_total_str_acc,avg_td_landed,avg_td_atmpted,avg_td_acc,avg_sub_att,avg_ctrl,avg_head_landed,avg_head_atmpted,avg_head_acc,avg_body_landed,avg_body_atmpted,avg_body_acc,avg_leg_landed,avg_leg_atmpted,avg_leg_acc,avg_dist_landed,avg_dist_atmpted,avg_dist_acc,avg_clinch_landed,avg_clinch_atmpted,avg_clinch_acc,avg_ground_landed,avg_ground_atmpted,avg_ground_acc,avg_landed_head_per,avg_landed_body_per,avg_landed_leg_per,avg_landed_dist_per,avg_landed_clinch_per,avg_landed_ground_per,avg_ses,avg_oci,avg_dor,avg_esa,avg_sud,avg_pws,max_consecutive_wins,max_consecutive_losses
777dea713da2441d,15,5,0,182.88,70.31,185.42,Orthodox,4.87,37,4.09,61,1.33,40,96,0.0,39.0,0,300.0,3.0,0.0,73.0,195.67,37.67,81.0,204.33,41.33,1.33,3.33,40.0,0.0,97.0,51.0,162.67,31.67,11.0,20.33,50.0,11.0,12.67,88.33,66.67,184.67,37.33,6.33,10.67,62.5,0.0,0.33,0.0,69.33,12.67,16.33,92.33,7.0,0.0,68.91,2429.33,150.0,-0.03,3315.34,678.65,1,1
f0264252e191da22,0,1,0,177.8,83.91,,Orthodox,0.63,33,17.05,32,0.0,0,0,0.0,49.0,0,95.0,1.0,0.0,1.0,3.0,33.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,49.58,0.0,3.0,-0.14,1510.0,0.0,0,1
6506c1d34da9c013,26,2,0,180.34,83.91,193.04,Orthodox,3.78,53,1.4,72,4.16,74,83,1.1,44.0,13,266.14,3.23,0.41,59.68,112.27,55.68,117.77,174.36,66.64,4.09,5.55,72.95,1.09,442.14,38.64,83.95,49.18,11.14,15.5,78.8,9.91,12.82,78.89,34.32,76.77,49.5,4.41,5.68,80.76,20.95,29.82,69.79,65.91,17.86,14.91,54.91,6.27,37.64,91.39,2246.41,185.23,0.14,4390.12,639.92,13,1
e9ac7bfb65c25497,22,11,0,180.34,83.91,190.5,Southpaw,1.72,34,4.03,49,0.0,0,7,0.0,40.0,0,195.33,2.17,0.33,15.67,45.67,35.5,18.17,48.83,50.0,0.0,0.0,0.0,0.0,14.5,7.0,33.0,26.0,4.5,7.83,77.0,4.17,4.83,90.67,13.5,40.83,33.5,1.67,3.5,52.0,0.5,1.33,58.5,53.33,25.0,21.33,77.83,9.33,12.33,59.7,0.0,49.25,-0.06,2872.37,0.0,1,3
af9f42e6894047fc,17,8,0,182.88,70.31,187.96,Orthodox,4.39,46,4.53,53,2.31,34,78,0.1,30.0,0,211.64,2.18,0.18,41.45,89.0,44.73,45.73,94.18,47.27,1.45,4.27,32.5,0.09,110.27,20.55,62.55,32.91,9.27,13.82,66.6,11.64,12.64,88.55,35.36,79.82,42.27,3.82,5.73,68.6,2.27,3.45,55.43,50.91,20.55,27.55,83.73,7.55,8.0,71.33,2035.12,95.5,-0.02,3830.28,564.57,2,2
6291ac0a3726732f,12,6,0,190.5,106.59,,Orthodox,0.61,62,2.77,40,1.84,40,16,0.9,50.0,0,174.75,2.0,0.25,8.88,22.5,42.25,20.25,35.0,56.25,0.38,0.75,75.0,0.75,105.5,5.0,17.0,33.0,1.75,2.75,70.17,2.12,2.75,56.33,5.0,16.25,30.62,1.38,2.5,60.0,2.5,3.75,63.29,50.5,21.25,15.12,39.88,12.25,34.62,70.7,599.35,47.19,0.21,3240.22,170.13,2,4
11583163f45c7b31,8,5,0,180.34,65.77,185.42,Orthodox,4.69,57,2.87,56,0.0,0,60,0.0,30.0,0,193.75,1.75,0.25,32.75,57.0,59.0,36.25,62.0,59.75,0.0,0.5,0.0,0.0,47.0,17.0,39.0,37.75,7.25,9.25,80.33,8.5,8.75,99.0,29.75,51.25,59.5,1.0,1.25,87.5,2.0,4.5,53.5,39.75,15.25,43.75,94.0,2.25,3.0,85.75,1525.38,79.75,0.1,5018.56,424.41,1,2
d945aae53e3e54e6,19,9,0,175.26,70.31,177.8,Orthodox,2.48,42,4.08,53,1.31,35,52,1.1,30.0,0,227.33,2.47,0.07,25.87,61.27,45.6,36.07,73.8,50.73,1.0,2.8,35.17,0.87,148.27,16.0,47.6,36.13,3.67,6.0,55.71,6.2,7.67,88.43,18.93,52.33,41.2,1.53,2.2,71.78,5.4,6.73,82.0,53.0,16.2,29.8,78.93,7.67,12.87,71.88,1576.95,73.17,-0.03,3959.02,438.85,3,2
595db60957de51d3,31,13,0,185.42,83.91,185.42,Orthodox,4.5,52,4.33,51,1.14,52,76,0.7,31.0,0,207.54,2.54,0.23,50.15,95.77,52.38,55.77,103.0,54.54,0.85,1.62,59.29,0.54,49.92,23.23,59.54,40.23,21.31,29.62,77.77,5.62,6.62,90.0,42.69,85.92,47.69,5.62,6.69,84.09,1.85,3.15,73.8,50.15,42.0,6.62,75.31,11.77,11.77,81.59,1947.34,122.73,0.04,4549.78,552.47,8,2
7f0f171414d0a287,8,3,0,182.88,77.11,193.04,Orthodox,2.91,36,4.35,43,0.38,50,60,0.0,30.0,0,291.0,2.67,0.0,38.33,103.67,35.33,46.67,113.33,39.33,0.33,0.67,50.0,0.0,121.33,23.67,82.33,26.67,9.33,14.67,66.0,5.33,6.67,78.33,29.33,90.0,32.0,9.0,13.0,59.33,0.0,0.67,0.0,55.67,26.33,16.33,78.33,20.67,0.0,57.68,1572.34,80.83,-0.1,3074.01,439.66,0,3
